transaction_id,customer_id,transaction_date,category,amount
1,3975,2024-09-05 22:34:36.136642,Electronics,30.04137204233545
2,1184,2025-07-15 22:34:36.136642,Home,131.09751944011882
3,4842,2026-06-21 22:34:36.136642,Clothing,32.01190234460036
4,1278,2025-10-17 22:34:36.136642,Sports,64.657302548003
5,1952,2025-12-14 22:34:36.136642,Beauty,380.76282284790744
6,3922,2024-06-24 22:34:36.136642,Sports,105.3599051784605
7,3425,2025-12-12 22:34:36.136642,Clothing,35.79450692824847
8,1326,2024-12-10 22:34:36.136642,Clothing,102.50141197185928
9,1172,2025-10-09 22:34:36.136642,Electronics,27.386625724112395
10,4317,2025-08-18 22:34:36.136642,Electronics,22.3101484821462
11,3770,2025-12-07 22:34:36.136642,Clothing,49.298541899278895
12,1872,2025-04-04 22:34:36.136642,Clothing,15.627592126046434
13,3632,2024-07-30 22:34:36.136642,Clothing,51.73442512318365
14,2311,2024-10-25 22:34:36.136642,Electronics,196.9782571513271
15,2344,2025-05-03 22:34:36.136642,Electronics,61.23914887101739
16,3387,2026-01-14 22:34:36.136642,Clothing,20.309196590475167
17,3068,2024-08-05 22:34:36.136642,Home,31.29241069600906
18,2340,2025-05-20 22:34:36.136642,Sports,56.69079119977778
19,684,2025-12-17 22:34:36.136642,Home,71.14776162789069
20,876,2024-12-04 22:34:36.136642,Electronics,110.2021912145883
21,1055,2025-06-15 22:34:36.136642,Electronics,194.58801478441922
22,3754,2025-11-16 22:34:36.136642,Home,23.775965652660837
23,2603,2026-06-03 22:34:36.136642,Home,146.39425996199245
24,4015,2025-09-20 22:34:36.136642,Beauty,106.8954443482608
25,349,2025-01-27 22:34:36.136642,Home,48.771464707970246
26,4315,2026-04-19 22:34:36.136642,Home,19.03658291909291
27,1023,2024-12-23 22:34:36.136642,Beauty,140.87875119930104
28,450,2025-07-10 22:34:36.136642,Sports,25.352534602258114
29,504,2025-04-17 22:34:36.136642,Home,67.77995257145157
30,86,2025-07-30 22:34:36.136642,Home,56.020120374291615
31,3323,2026-04-15 22:34:36.136642,Electronics,125.5800018882158
32,523,2025-09-06 22:34:36.136642,Sports,91.53777924274664
33,3152,2026-01-20 22:34:36.136642,Home,28.60651014329133
34,3693,2025-07-06 22:34:36.136642,Home,138.45271319085097
35,2509,2026-04-27 22:34:36.136642,Home,114.89348549552099
36,630,2026-01-05 22:34:36.136642,Clothing,91.30661501505742
37,18,2026-04-25 22:34:36.136642,Clothing,5.610877879786995
38,1269,2025-04-27 22:34:36.136642,Sports,302.4088177073559
39,1177,2025-10-05 22:34:36.136642,Electronics,5.0
40,1633,2024-08-12 22:34:36.136642,Sports,160.0046140630507
41,4596,2025-03-25 22:34:36.136642,Beauty,23.932781760580884
42,4554,2025-12-31 22:34:36.136642,Home,5.0
43,3770,2025-08-30 22:34:36.136642,Sports,5.0
44,3614,2025-07-07 22:34:36.136642,Home,6.947216646610996
45,115,2024-10-15 22:34:36.136642,Sports,217.43291840541337
46,753,2024-11-05 22:34:36.136642,Beauty,138.7914368006462
47,4865,2025-06-24 22:34:36.136642,Home,68.65975874560898
48,2401,2024-07-13 22:34:36.136642,Clothing,240.10419659566585
49,1871,2025-12-04 22:34:36.136642,Home,78.54709745904279
50,2589,2025-06-19 22:34:36.136642,Clothing,39.757881544292694
51,322,2025-03-20 22:34:36.136642,Electronics,5.0
52,4322,2025-01-27 22:34:36.136642,Clothing,160.25031118448328
53,3828,2025-05-07 22:34:36.136642,Sports,339.61289053181605
54,4457,2025-10-01 22:34:36.136642,Home,16.39000309804382
55,834,2025-07-31 22:34:36.136642,Home,361.7486499333366
56,4208,2024-10-21 22:34:36.136642,Sports,26.165464410804585
57,212,2024-08-23 22:34:36.136642,Home,84.69390307359964
58,1257,2024-09-27 22:34:36.136642,Beauty,20.69973926707709
59,159,2025-09-01 22:34:36.136642,Home,32.45623849610532
60,2620,2025-08-10 22:34:36.136642,Home,444.2123610584995
61,1348,2024-10-29 22:34:36.136642,Electronics,52.034151680167916
62,3165,2025-02-23 22:34:36.136642,Home,39.20040841919432
63,3213,2024-07-02 22:34:36.136642,Home,92.51398602945696
64,911,2026-01-20 22:34:36.136642,Beauty,5.581528971911697
65,2452,2025-08-13 22:34:36.136642,Clothing,22.245086105653407
66,3804,2025-06-06 22:34:36.136642,Clothing,288.0332553666188
67,404,2025-08-15 22:34:36.136642,Home,201.85228046195442
68,1842,2024-12-04 22:34:36.136642,Clothing,64.68188104865189
69,2649,2024-12-18 22:34:36.136642,Electronics,140.96416560756055
70,1691,2024-08-15 22:34:36.136642,Electronics,40.38190930476328
71,3486,2025-05-07 22:34:36.136642,Clothing,155.0398270172785
72,1257,2024-08-07 22:34:36.136642,Electronics,88.6097163369632
73,4289,2025-08-26 22:34:36.136642,Home,8.478780036452699
74,3185,2025-07-04 22:34:36.136642,Clothing,87.91670508158849
75,1643,2024-12-17 22:34:36.136642,Beauty,53.05655107758881
76,3353,2025-11-23 22:34:36.136642,Home,50.22141521296311
77,523,2026-02-08 22:34:36.136642,Home,98.39848560849941
78,4446,2024-10-28 22:34:36.136642,Home,28.389990575875984
79,1945,2025-10-26 22:34:36.136642,Clothing,105.70278831296396
80,3572,2026-06-18 22:34:36.136642,Beauty,200.48864465202055
81,1561,2025-02-11 22:34:36.136642,Beauty,175.59405646804817
82,4748,2024-07-04 22:34:36.136642,Beauty,80.02750112926209
83,4731,2026-01-29 22:34:36.136642,Clothing,108.32336346687524
84,3595,2025-12-24 22:34:36.136642,Electronics,13.509614034390113
85,593,2025-10-23 22:34:36.136642,Home,42.011872467661995
86,3894,2026-04-14 22:34:36.136642,Home,13.91803993052296
87,2669,2025-08-03 22:34:36.136642,Electronics,165.525723436011
88,3903,2025-10-14 22:34:36.136642,Clothing,122.84387575219193
89,756,2026-05-07 22:34:36.136642,Beauty,38.526886427098205
90,1300,2025-01-22 22:34:36.136642,Clothing,179.084493997261
91,497,2024-07-13 22:34:36.136642,Electronics,115.42093353046725
92,4869,2025-10-03 22:34:36.136642,Sports,55.45894375358122
93,2422,2025-09-10 22:34:36.136642,Sports,105.05497763958694
94,1599,2026-06-12 22:34:36.136642,Electronics,107.70138577955477
95,4280,2025-01-19 22:34:36.136642,Electronics,5.070055607970542
96,4128,2026-04-17 22:34:36.136642,Beauty,162.88073618938054
97,4379,2025-02-26 22:34:36.136642,Home,123.16686240013537
98,4932,2024-10-07 22:34:36.136642,Beauty,15.11811049220999
99,3591,2026-04-24 22:34:36.136642,Home,133.7833084691409
100,4782,2025-11-21 22:34:36.136642,Beauty,246.5044478515598
101,462,2025-09-30 22:34:36.136642,Clothing,99.69505962188994
102,4967,2026-05-28 22:34:36.136642,Home,326.93889256761463
103,368,2026-04-30 22:34:36.136642,Beauty,51.175682239732545
104,2706,2026-02-18 22:34:36.136642,Electronics,79.35344699807501
105,3324,2025-04-06 22:34:36.136642,Beauty,206.43507603548431
106,166,2026-05-29 22:34:36.136642,Clothing,46.44302674054622
107,3687,2024-07-21 22:34:36.136642,Electronics,5.0
108,4083,2024-10-18 22:34:36.136642,Home,5.608752027792887
109,3048,2024-11-02 22:34:36.136642,Electronics,118.82386724423999
110,1729,2024-11-27 22:34:36.136642,Beauty,104.88632376191912
111,4698,2026-03-03 22:34:36.136642,Clothing,161.9358253200298
112,3670,2024-12-12 22:34:36.136642,Beauty,9.998152679159885
113,3175,2026-04-11 22:34:36.136642,Beauty,144.8560141236729
114,2174,2025-05-22 22:34:36.136642,Sports,148.81479625641194
115,38,2025-08-17 22:34:36.136642,Clothing,164.78409471668013
116,4444,2025-03-09 22:34:36.136642,Electronics,5.0
117,2022,2026-01-01 22:34:36.136642,Sports,181.0205270370376
118,734,2026-04-17 22:34:36.136642,Electronics,209.08356735680792
119,4522,2024-11-05 22:34:36.136642,Electronics,86.83968556857137
120,648,2025-01-24 22:34:36.136642,Home,326.8351228128326
121,3303,2025-09-29 22:34:36.136642,Home,72.3524072883986
122,320,2026-03-30 22:34:36.136642,Clothing,168.22872953362088
123,4608,2025-02-01 22:34:36.136642,Clothing,19.560881666856805
124,2554,2025-10-30 22:34:36.136642,Beauty,49.33174048662551
125,3179,2026-06-05 22:34:36.136642,Clothing,53.48889388096366
126,1723,2024-07-10 22:34:36.136642,Clothing,43.96477611192245
127,1757,2025-01-12 22:34:36.136642,Home,11.803362696532282
128,3679,2024-11-03 22:34:36.136642,Sports,51.44750969795343
129,3779,2025-06-04 22:34:36.136642,Home,301.3010720471048
130,2516,2024-10-08 22:34:36.136642,Clothing,84.90245814667891
131,3848,2025-08-19 22:34:36.136642,Beauty,328.85031804216413
132,938,2025-11-17 22:34:36.136642,Beauty,119.49861328158636
133,765,2024-07-07 22:34:36.136642,Beauty,52.797623299710814
134,653,2026-04-07 22:34:36.136642,Home,38.30335772377836
135,4081,2025-11-09 22:34:36.136642,Beauty,10.40504309239828
136,3603,2026-02-01 22:34:36.136642,Clothing,61.96644587064585
137,2130,2025-11-08 22:34:36.136642,Home,177.731865126662
138,4577,2024-12-13 22:34:36.136642,Clothing,14.661879342575737
139,3965,2024-10-11 22:34:36.136642,Sports,261.6586366750734
140,4612,2024-10-17 22:34:36.136642,Clothing,117.56263117396053
141,187,2024-08-02 22:34:36.136642,Sports,125.7974704520682
142,146,2024-06-28 22:34:36.136642,Sports,95.11272586505693
143,4248,2025-03-25 22:34:36.136642,Electronics,26.13524288625178
144,1387,2024-08-29 22:34:36.136642,Electronics,33.33988253374247
145,4189,2025-10-26 22:34:36.136642,Clothing,281.44954259283315
146,2588,2026-02-28 22:34:36.136642,Sports,77.8427289701106
147,2697,2024-10-27 22:34:36.136642,Home,39.67673215962642
148,4013,2026-01-29 22:34:36.136642,Home,5.0
149,4698,2024-10-25 22:34:36.136642,Beauty,51.72168144792142
